,voice,acc
266,4.69503,7.51325
267,9.25565,9.64495
268,7.83772,9.71084
269,8.62145,9.62342
270,3.27502,6.76633
271,-5.8395,8.5625
272,-45.14025,9.689
273,4.86799,8.80267
274,8.4993,8.38365
275,11.37527,9.74365
276,1.21101,10.53103
277,1.35286,6.80655
278,1.20618,9.37456
279,-46.39996,8.69706
280,3.4123,10.52232
281,7.92392,7.53803
282,4.7637,7.23964
283,-21.29977,7.90543
284,10.68659,9.29995
285,9.16429,8.03
286,0.52783,7.82721
287,3.48111,9.69399
288,2.97474,7.33126
289,7.65509,7.44185
290,7.62194,7.42157
291,6.36802,7.56068
292,-0.23111,6.95073
293,-41.74707,8.25694
294,8.13872,-4.55458
295,5.74301,7.0358
296,4.25238,5.0327
297,5.30124,5.66574
298,5.04532,8.10133
299,4.51461,7.93112
300,5.70281,7.10496
301,5.96326,6.56802
302,6.15825,6.83664
303,5.66053,7.41334
304,5.53041,6.77261
305,6.50231,8.8653
306,6.00382,8.16107
307,5.58212,7.29403
308,6.05583,7.45583
309,5.30354,7.25729
310,5.582,9.47731
311,10.79081,10.06296
312,8.01354,9.03549
313,9.75941,8.12313
314,5.3068,7.06756
315,6.41643,7.23916
316,5.81269,7.35066
317,6.68383,8.53912
318,9.77792,9.49374
319,9.56507,9.40931
320,10.32107,8.09176
321,-34.40394,10.03613
322,6.0694,10.72412
323,9.20695,9.44489
324,6.24508,8.31564
325,9.86422,11.25858
326,5.15094,9.6247
327,2.17657,7.08731
328,6.86813,7.61148
329,4.98985,9.03718
330,-0.08768,8.76412
331,-11.30985,6.42121
332,5.42177,10.54637
333,7.52652,11.34917
334,6.22643,8.7037
335,4.21559,6.54138
336,7.2709,9.51957
337,6.6241,10.7591
338,3.57587,6.6143
339,6.55972,7.80218
340,6.87257,8.8717
341,5.47778,5.93123
342,-1.12418,5.26143
343,6.53738,8.14252
344,6.89869,9.95805
345,6.36395,5.55616
346,5.53393,8.92195
347,8.25552,9.35869
348,7.78057,8.86956
349,5.18464,8.45714
350,8.28874,7.43884
351,6.89954,7.44234
352,-22.19827,6.40841
353,-43.40266,9.40112
354,-27.17088,6.02256
355,6.32528,7.06961
356,10.44829,2.63887
357,10.41675,8.07578
358,9.06006,7.296
359,12.13116,6.8877
360,5.75158,6.72378
361,-24.42763,9.56246
362,-46.91001,8.28682
363,-48.08957,6.51387
364,7.73589,8.41169
365,6.44156,6.06803
366,6.43521,7.37003
367,4.20324,5.59
368,5.19628,6.76794
369,5.23212,7.88819
370,4.11094,7.30774
371,6.44317,6.65926
372,5.44687,6.82548
373,6.30572,7.48991
374,5.18299,6.22283
375,5.57537,6.49414
376,6.50571,8.31198
377,5.94665,7.4934
378,5.71923,7.95011
379,5.65973,7.90362
380,4.31143,6.78472
381,5.34374,8.21573
382,7.14221,8.18627
383,6.94552,7.92043
384,4.4782,7.40511
385,5.90836,7.21391
386,5.90498,7.65075
387,5.69649,5.73007
388,5.65101,6.91416
389,6.11539,6.39244
390,6.20984,8.66534
391,6.70815,7.61876
392,5.49978,7.98873
393,6.30652,8.42125
394,6.40088,8.56926
395,-25.91786,7.48533
396,-45.55591,6.72776
397,-39.26538,9.20983
398,-24.8682,9.64554
399,-26.78126,9.32043
400,-27.87631,8.55407
401,-27.03276,7.90503
402,-28.26656,8.15051
403,-27.56174,8.8542
404,-27.5286,9.75489
405,-9.10091,-12.18498
406,-7.15387,-9.9071
407,-8.10324,-10.90535
408,-8.23437,-11.21608
409,-40.51048,13.14306
410,-39.97484,6.01835
411,-32.85135,0.91378
412,-43.16606,5.9008
413,-38.66796,3.09941
414,-39.39498,5.47372
415,-42.5747,5.52399
416,-41.2875,6.93286
417,-40.95859,6.29523
418,-42.50945,7.13428
419,-41.48807,6.91057
420,-42.39755,6.65135
421,-41.31809,6.92114
422,-40.62431,6.18056
423,-40.44785,5.66887
424,-10.09413,6.27749
425,4.57757,7.64871
426,4.65766,7.03633
427,4.55609,5.57271
428,4.74336,6.75514
429,4.9746,6.18432
430,3.77019,5.91519
431,4.18564,6.76615
432,4.09464,5.0756
433,4.60094,5.66851
434,4.41562,5.99519
435,4.28809,5.81861
436,3.75235,5.58065
437,4.87467,5.33301
438,-0.3056,4.38982
439,-1.32532,5.82977
440,3.79112,5.52862
441,4.28047,5.32202
442,4.58401,5.16113
443,-3.71661,5.28151
444,-4.04141,7.70423
445,5.5808,4.52785
446,3.79874,5.67488
447,0.03969,3.22006
448,5.12961,4.60673
449,5.14096,3.40635
450,5.4731,5.4028
451,4.18838,6.27844
452,5.54202,5.13242
453,4.6915,3.73453
454,3.22241,5.15719
